geoid,year,region_name,region_type,measure,value,measure_type,measure_units
51001,2020,"Accomack County, Virginia",county,3sfca_capacity,0,index,NA
51003,2020,"Albemarle County, Virginia",county,3sfca_capacity,0.902386127,index,NA
51005,2020,"Alleghany County, Virginia",county,3sfca_capacity,0,index,NA
51007,2020,"Amelia County, Virginia",county,3sfca_capacity,0.131823066,index,NA
51009,2020,"Amherst County, Virginia",county,3sfca_capacity,0.077889787,index,NA
51011,2020,"Appomattox County, Virginia",county,3sfca_capacity,0.077889787,index,NA
51013,2020,"Arlington County, Virginia",county,3sfca_capacity,1.593676145,index,NA
51015,2020,"Augusta County, Virginia",county,3sfca_capacity,0.005718347,index,NA
51017,2020,"Bath County, Virginia",county,3sfca_capacity,0,index,NA
51019,2020,"Bedford County, Virginia",county,3sfca_capacity,0.123131241,index,NA
51021,2020,"Bland County, Virginia",county,3sfca_capacity,0,index,NA
51023,2020,"Botetourt County, Virginia",county,3sfca_capacity,0.168372694,index,NA
51025,2020,"Brunswick County, Virginia",county,3sfca_capacity,0,index,NA
51027,2020,"Buchanan County, Virginia",county,3sfca_capacity,0,index,NA
51029,2020,"Buckingham County, Virginia",county,3sfca_capacity,0,index,NA
51031,2020,"Campbell County, Virginia",county,3sfca_capacity,0.699153563,index,NA
51033,2020,"Caroline County, Virginia",county,3sfca_capacity,0.15525535,index,NA
51035,2020,"Carroll County, Virginia",county,3sfca_capacity,0,index,NA
51036,2020,"Charles City County, Virginia",county,3sfca_capacity,0.131823066,index,NA
51037,2020,"Charlotte County, Virginia",county,3sfca_capacity,0,index,NA
51041,2020,"Chesterfield County, Virginia",county,3sfca_capacity,0.143539208,index,NA
51043,2020,"Clarke County, Virginia",county,3sfca_capacity,0,index,NA
51045,2020,"Craig County, Virginia",county,3sfca_capacity,0,index,NA
51047,2020,"Culpeper County, Virginia",county,3sfca_capacity,6.768081585,index,NA
51049,2020,"Cumberland County, Virginia",county,3sfca_capacity,0,index,NA
51051,2020,"Dickenson County, Virginia",county,3sfca_capacity,0,index,NA
51053,2020,"Dinwiddie County, Virginia",county,3sfca_capacity,0.131823066,index,NA
51057,2020,"Essex County, Virginia",county,3sfca_capacity,0,index,NA
