geoid,region_type,region_name,year,measure,value,measure_type
51001,county,"Accomack County, Virginia",2019,employment_rate,93.69,percent
51001,county,"Accomack County, Virginia",2019,employment_rate,95.27,percent
51001,county,"Accomack County, Virginia",2019,employment_rate,94.9,percent
51001090100,tract,"Census Tract 901, Accomack County, Virginia",2019,employment_rate,91.81,percent
51001090100,tract,"Census Tract 901, Accomack County, Virginia",2019,employment_rate,90.93,percent
51001090100,tract,"Census Tract 901, Accomack County, Virginia",2019,employment_rate,89.27,percent
5.10011E+11,block group,"Block Group 1, Census Tract 901, Accomack County, Virginia",2019,employment_rate,94.74,percent
5.10011E+11,block group,"Block Group 1, Census Tract 901, Accomack County, Virginia",2019,employment_rate,100,percent
5.10011E+11,block group,"Block Group 1, Census Tract 901, Accomack County, Virginia",2019,employment_rate,100,percent
5.10011E+11,block group,"Block Group 2, Census Tract 901, Accomack County, Virginia",2019,employment_rate,95.38,percent
5.10011E+11,block group,"Block Group 2, Census Tract 901, Accomack County, Virginia",2019,employment_rate,92.73,percent
5.10011E+11,block group,"Block Group 2, Census Tract 901, Accomack County, Virginia",2019,employment_rate,91.5,percent
5.10011E+11,block group,"Block Group 3, Census Tract 901, Accomack County, Virginia",2019,employment_rate,91.93,percent
5.10011E+11,block group,"Block Group 3, Census Tract 901, Accomack County, Virginia",2019,employment_rate,90.47,percent
5.10011E+11,block group,"Block Group 3, Census Tract 901, Accomack County, Virginia",2019,employment_rate,86.37,percent
5.10011E+11,block group,"Block Group 4, Census Tract 901, Accomack County, Virginia",2019,employment_rate,77.65,percent
5.10011E+11,block group,"Block Group 4, Census Tract 901, Accomack County, Virginia",2019,employment_rate,75.86,percent
5.10011E+11,block group,"Block Group 4, Census Tract 901, Accomack County, Virginia",2019,employment_rate,73.86,percent
51001090200,tract,"Census Tract 902, Accomack County, Virginia",2019,employment_rate,93.83,percent
51001090200,tract,"Census Tract 902, Accomack County, Virginia",2019,employment_rate,97.1,percent
51001090200,tract,"Census Tract 902, Accomack County, Virginia",2019,employment_rate,93.46,percent
5.10011E+11,block group,"Block Group 1, Census Tract 902, Accomack County, Virginia",2019,employment_rate,97.19,percent
5.10011E+11,block group,"Block Group 1, Census Tract 902, Accomack County, Virginia",2019,employment_rate,100,percent
5.10011E+11,block group,"Block Group 1, Census Tract 902, Accomack County, Virginia",2019,employment_rate,100,percent
5.10011E+11,block group,"Block Group 2, Census Tract 902, Accomack County, Virginia",2019,employment_rate,95.4,percent
5.10011E+11,block group,"Block Group 2, Census Tract 902, Accomack County, Virginia",2019,employment_rate,98.68,percent
5.10011E+11,block group,"Block Group 2, Census Tract 902, Accomack County, Virginia",2019,employment_rate,90.97,percent
5.10011E+11,block group,"Block Group 3, Census Tract 902, Accomack County, Virginia",2019,employment_rate,90.72,percent
5.10011E+11,block group,"Block Group 3, Census Tract 902, Accomack County, Virginia",2019,employment_rate,94.08,percent
5.10011E+11,block group,"Block Group 3, Census Tract 902, Accomack County, Virginia",2019,employment_rate,93.8,percent
51001090300,tract,"Census Tract 903, Accomack County, Virginia",2019,employment_rate,90.35,percent
51001090300,tract,"Census Tract 903, Accomack County, Virginia",2019,employment_rate,90.41,percent
51001090300,tract,"Census Tract 903, Accomack County, Virginia",2019,employment_rate,90.06,percent
5.10011E+11,block group,"Block Group 1, Census Tract 903, Accomack County, Virginia",2019,employment_rate,91.93,percent
5.10011E+11,block group,"Block Group 1, Census Tract 903, Accomack County, Virginia",2019,employment_rate,92.47,percent
5.10011E+11,block group,"Block Group 1, Census Tract 903, Accomack County, Virginia",2019,employment_rate,95.42,percent
5.10011E+11,block group,"Block Group 2, Census Tract 903, Accomack County, Virginia",2019,employment_rate,96.3,percent
5.10011E+11,block group,"Block Group 2, Census Tract 903, Accomack County, Virginia",2019,employment_rate,94.98,percent
5.10011E+11,block group,"Block Group 2, Census Tract 903, Accomack County, Virginia",2019,employment_rate,93.84,percent
5.10011E+11,block group,"Block Group 3, Census Tract 903, Accomack County, Virginia",2019,employment_rate,85.86,percent
5.10011E+11,block group,"Block Group 3, Census Tract 903, Accomack County, Virginia",2019,employment_rate,86.85,percent
5.10011E+11,block group,"Block Group 3, Census Tract 903, Accomack County, Virginia",2019,employment_rate,85.37,percent
51001090400,tract,"Census Tract 904, Accomack County, Virginia",2019,employment_rate,95.6,percent
51001090400,tract,"Census Tract 904, Accomack County, Virginia",2019,employment_rate,97.12,percent
51001090400,tract,"Census Tract 904, Accomack County, Virginia",2019,employment_rate,95.98,percent
5.10011E+11,block group,"Block Group 1, Census Tract 904, Accomack County, Virginia",2019,employment_rate,92.11,percent
5.10011E+11,block group,"Block Group 1, Census Tract 904, Accomack County, Virginia",2019,employment_rate,95.52,percent
5.10011E+11,block group,"Block Group 1, Census Tract 904, Accomack County, Virginia",2019,employment_rate,98.1,percent
5.10011E+11,block group,"Block Group 2, Census Tract 904, Accomack County, Virginia",2019,employment_rate,97.88,percent
5.10011E+11,block group,"Block Group 2, Census Tract 904, Accomack County, Virginia",2019,employment_rate,98.48,percent
5.10011E+11,block group,"Block Group 2, Census Tract 904, Accomack County, Virginia",2019,employment_rate,100,percent
5.10011E+11,block group,"Block Group 3, Census Tract 904, Accomack County, Virginia",2019,employment_rate,95.76,percent
