geoid,region_type,region_name,year,measure,value,type
51059421300,tract,"Census Tract 4213, Fairfax County, Virginia",2019,num_post_hs_edu,2403,count
51143011002,tract,"Census Tract 110.02, Pittsylvania County, Virginia",2019,perc_post_hs_edu,56.3143124415341,percent
51177020311,tract,"Census Tract 203.11, Spotsylvania County, Virginia",2019,perc_post_hs_edu,52.1002024291498,percent
51097950500,tract,"Census Tract 9505, King and Queen County, Virginia",2019,num_post_hs_edu,1154,count
51059461802,tract,"Census Tract 4618.02, Fairfax County, Virginia",2019,num_post_hs_edu,3332,count
51135980100,tract,"Census Tract 9801, Nottoway County, Virginia",2019,perc_post_hs_edu,100,percent
51169030100,tract,"Census Tract 301, Scott County, Virginia",2019,perc_post_hs_edu,46.7191601049869,percent
51059422000,tract,"Census Tract 4220, Fairfax County, Virginia",2019,num_post_hs_edu,2008,count
51678930500,tract,"Census Tract 9305, Lexington city, Virginia",2019,perc_post_hs_edu,69.5611285266458,percent
51153900501,tract,"Census Tract 9005.01, Prince William County, Virginia",2019,perc_post_hs_edu,41.3143735588009,percent
51810044003,tract,"Census Tract 440.03, Virginia Beach city, Virginia",2019,perc_post_hs_edu,82.1078431372549,percent
51115951300,tract,"Census Tract 9513, Mathews County, Virginia",2019,num_post_hs_edu,2597,count
51510201000,tract,"Census Tract 2010, Alexandria city, Virginia",2019,perc_post_hs_edu,96.7741935483871,percent
51135,county,"Nottoway County, Virginia",2019,num_post_hs_edu,4626,count
51710006000,tract,"Census Tract 60, Norfolk city, Virginia",2019,num_post_hs_edu,1302,count
51650010502,tract,"Census Tract 105.02, Hampton city, Virginia",2019,perc_post_hs_edu,63.6456733230927,percent
51059482302,tract,"Census Tract 4823.02, Fairfax County, Virginia",2019,perc_post_hs_edu,68.338249754179,percent
51027010600,tract,"Census Tract 106, Buchanan County, Virginia",2019,perc_post_hs_edu,35.9220092531395,percent
34,health district,West Piedmont,2019,num_post_hs_edu,49982,count
51061930705,tract,"Census Tract 9307.05, Fauquier County, Virginia",2019,perc_post_hs_edu,48.6443381180223,percent
51067020600,tract,"Census Tract 206, Franklin County, Virginia",2019,perc_post_hs_edu,39.8891966759003,percent
51760040400,tract,"Census Tract 404, Richmond city, Virginia",2019,perc_post_hs_edu,87.437641723356,percent
51730811200,tract,"Census Tract 8112, Petersburg city, Virginia",2019,num_post_hs_edu,1259,count
51740980100,tract,"Census Tract 9801, Portsmouth city, Virginia",2019,perc_post_hs_edu,68.75,percent
33,health district,Virginia Beach,2019,num_post_hs_edu,222778,count
51013102702,tract,"Census Tract 1027.02, Arlington County, Virginia",2019,perc_post_hs_edu,73.4791524265208,percent
51760060200,tract,"Census Tract 602, Richmond city, Virginia",2019,perc_post_hs_edu,36.3013698630137,percent
51650010200,tract,"Census Tract 102, Hampton city, Virginia",2019,num_post_hs_edu,527,count
51167030500,tract,"Census Tract 305, Russell County, Virginia",2019,perc_post_hs_edu,44.8979591836735,percent
51735,county,"Poquoson city, Virginia",2019,perc_post_hs_edu,69.0070921985816,percent
51115990100,tract,"Census Tract 9901, Mathews County, Virginia",2019,perc_post_hs_edu,NA,percent
51059482002,tract,"Census Tract 4820.02, Fairfax County, Virginia",2019,num_post_hs_edu,2449,count
51700030600,tract,"Census Tract 306, Newport News city, Virginia",2019,perc_post_hs_edu,44.2071197411003,percent
