geoid,region_type,region_name,year,measure,value,measure_type
51001090100,tract,Census Tract 901,2021,ems_fca,7.3558045952144e-4,index
51001090200,tract,Census Tract 902,2021,ems_fca,7.34331598607963e-4,index
51001090300,tract,Census Tract 903,2021,ems_fca,7.63084657509651e-4,index
51001090400,tract,Census Tract 904,2021,ems_fca,6.80777323926229e-4,index
51001090500,tract,Census Tract 905,2021,ems_fca,6.86505686057965e-4,index
51001090600,tract,Census Tract 906,2021,ems_fca,6.47189349112426e-4,index
51001090700,tract,Census Tract 907,2021,ems_fca,6.13737909363185e-4,index
51001090800,tract,Census Tract 908,2021,ems_fca,5.80012760280726e-4,index
51001980100,tract,Census Tract 9801,2021,ems_fca,NA,index
51001980200,tract,Census Tract 9802,2021,ems_fca,7.43639921722113e-4,index
51001990100,tract,Census Tract 9901,2021,ems_fca,6.93120776295269e-4,index
51003010100,tract,Census Tract 101,2021,ems_fca,NA,index
51003010201,tract,Census Tract 102.01,2021,ems_fca,3.51137294682221e-4,index
51003010202,tract,Census Tract 102.02,2021,ems_fca,3.30287349994495e-4,index
51003010300,tract,Census Tract 103,2021,ems_fca,3.20298442784336e-4,index
51003010401,tract,Census Tract 104.01,2021,ems_fca,3.4449169656221e-4,index
51003010402,tract,Census Tract 104.02,2021,ems_fca,2.56885652377868e-4,index
51003010500,tract,Census Tract 105,2021,ems_fca,3.22978787214654e-4,index
51003010601,tract,Census Tract 106.01,2021,ems_fca,2.9102701354315e-4,index
51003010602,tract,Census Tract 106.02,2021,ems_fca,2.73200050737152e-4,index
51003010700,tract,Census Tract 107,2021,ems_fca,2.82013198217677e-4,index
51003010800,tract,Census Tract 108,2021,ems_fca,2.81623015099326e-4,index
51003010901,tract,Census Tract 109.01,2021,ems_fca,2.73200050737152e-4,index
51003010902,tract,Census Tract 109.02,2021,ems_fca,3.05388270647301e-4,index
51003010903,tract,Census Tract 109.03,2021,ems_fca,2.88578795974791e-4,index
51003011000,tract,Census Tract 110,2021,ems_fca,3.26789474958244e-4,index
51003011100,tract,Census Tract 111,2021,ems_fca,2.77242196262271e-4,index
51003011201,tract,Census Tract 112.01,2021,ems_fca,4.11781804088751e-4,index
51003011202,tract,Census Tract 112.02,2021,ems_fca,3.24792944497883e-4,index
51003011301,tract,Census Tract 113.01,2021,ems_fca,3.49406009783368e-4,index
51003011302,tract,Census Tract 113.02,2021,ems_fca,2.8931245745405e-4,index
51003011303,tract,Census Tract 113.03,2021,ems_fca,2.92368068908905e-4,index
51003011400,tract,Census Tract 114,2021,ems_fca,4.11057445277978e-4,index
51005070100,tract,Census Tract 701,2021,ems_fca,0.00121742438653224,index
51005080100,tract,Census Tract 801,2021,ems_fca,0.00115008625646924,index
51005080201,tract,Census Tract 802.01,2021,ems_fca,8.41219768664564e-4,index
51005080202,tract,Census Tract 802.02,2021,ems_fca,0.00108672027820039,index
51005080301,tract,Census Tract 803.01,2021,ems_fca,9.33764940239044e-4,index
51005080302,tract,Census Tract 803.02,2021,ems_fca,9.54927425515661e-4,index
51007930100,tract,Census Tract 9301,2021,ems_fca,5.42260992573382e-4,index
51007930200,tract,Census Tract 9302,2021,ems_fca,6.07853466790939e-4,index
51009010100,tract,Census Tract 101,2021,ems_fca,3.48630831643002e-4,index
51009010200,tract,Census Tract 102,2021,ems_fca,4.73794643864359e-4,index
