"geoid","region_type","region_name","year","measure","value","measure_type"
"51001090100","tract","Census Tract 901",2021,"ped_fca",NA,"index"
"51001090200","tract","Census Tract 902",2021,"ped_fca",NA,"index"
"51001090300","tract","Census Tract 903",2021,"ped_fca",NA,"index"
"51001090400","tract","Census Tract 904",2021,"ped_fca",0.0029940119760479,"index"
"51001090500","tract","Census Tract 905",2021,"ped_fca",0.0029940119760479,"index"
"51001090600","tract","Census Tract 906",2021,"ped_fca",0.0029940119760479,"index"
"51001090700","tract","Census Tract 907",2021,"ped_fca",0.00263473053892216,"index"
"51001090800","tract","Census Tract 908",2021,"ped_fca",0.00263473053892216,"index"
"51001980100","tract","Census Tract 9801",2021,"ped_fca",NA,"index"
"51001980200","tract","Census Tract 9802",2021,"ped_fca",NA,"index"
"51001990100","tract","Census Tract 9901",2021,"ped_fca",NA,"index"
"51003010100","tract","Census Tract 101",2021,"ped_fca",NA,"index"
"51003010201","tract","Census Tract 102.01",2021,"ped_fca",0.142451669080771,"index"
"51003010202","tract","Census Tract 102.02",2021,"ped_fca",0.140841809311172,"index"
"51003010300","tract","Census Tract 103",2021,"ped_fca",0.139271215376196,"index"
"51003010401","tract","Census Tract 104.01",2021,"ped_fca",0.192260065502436,"index"
"51003010402","tract","Census Tract 104.02",2021,"ped_fca",0.133108123958993,"index"
"51003010500","tract","Census Tract 105",2021,"ped_fca",0.134576959224129,"index"
"51003010601","tract","Census Tract 106.01",2021,"ped_fca",0.119551411782768,"index"
"51003010602","tract","Census Tract 106.02",2021,"ped_fca",0.114139591255069,"index"
"51003010700","tract","Census Tract 107",2021,"ped_fca",0.114139591255069,"index"
"51003010800","tract","Census Tract 108",2021,"ped_fca",0.115887635586573,"index"
"51003010901","tract","Census Tract 109.01",2021,"ped_fca",0.114139591255069,"index"
"51003010902","tract","Census Tract 109.02",2021,"ped_fca",0.116816186295094,"index"
"51003010903","tract","Census Tract 109.03",2021,"ped_fca",0.114139591255069,"index"
"51003011000","tract","Census Tract 110",2021,"ped_fca",0.12054042643023,"index"
"51003011100","tract","Census Tract 111",2021,"ped_fca",0.0950779529074617,"index"
"51003011201","tract","Census Tract 112.01",2021,"ped_fca",0.00812303474965734,"index"
"51003011202","tract","Census Tract 112.02",2021,"ped_fca",0.12054042643023,"index"
"51003011301","tract","Census Tract 113.01",2021,"ped_fca",NA,"index"
"51003011302","tract","Census Tract 113.02",2021,"ped_fca",0.112465635682464,"index"
"51003011303","tract","Census Tract 113.03",2021,"ped_fca",0.115039971003403,"index"
"51003011400","tract","Census Tract 114",2021,"ped_fca",0.000748502994011976,"index"
"51005070100","tract","Census Tract 701",2021,"ped_fca",0.00490702479338843,"index"
"51005080100","tract","Census Tract 801",2021,"ped_fca",0.00435161009573542,"index"
"51005080201","tract","Census Tract 802.01",2021,"ped_fca",0.00490702479338843,"index"
"51005080202","tract","Census Tract 802.02",2021,"ped_fca",0.00471253534401508,"index"
"51005080301","tract","Census Tract 803.01",2021,"ped_fca",0.00490702479338843,"index"
"51005080302","tract","Census Tract 803.02",2021,"ped_fca",0.00204081632653061,"index"
"51007930100","tract","Census Tract 9301",2021,"ped_fca",0.00106837606837607,"index"
"51007930200","tract","Census Tract 9302",2021,"ped_fca",0.00106837606837607,"index"
"51009010100","tract","Census Tract 101",2021,"ped_fca",0.00185185185185185,"index"
"51009010200","tract","Census Tract 102",2021,"ped_fca",0.00455235204855842,"index"
"51009010300","tract","Census Tract 103",2021,"ped_fca",0.00831662144626637,"index"
"51009010401","tract","Census Tract 104.01",2021,"ped_fca",0.0088849765258216,"index"
"51009010402","tract","Census Tract 104.02",2021,"ped_fca",0.00880484150123709,"index"
"51009010502","tract","Census Tract 105.02",2021,"ped_fca",0.00892067060483582,"index"
"51009010503","tract","Census Tract 105.03",2021,"ped_fca",0.00892067060483582,"index"
"51009010504","tract","Census Tract 105.04",2021,"ped_fca",0.00892067060483582,"index"
"51009010600","tract","Census Tract 106",2021,"ped_fca",0.00906639333260119,"index"
"51011040100","tract","Census Tract 401",2021,"ped_fca",0.00207900207900208,"index"
"51011040200","tract","Census Tract 402",2021,"ped_fca",NA,"index"
"51011040300","tract","Census Tract 403",2021,"ped_fca",NA,"index"
"51013100100","tract","Census Tract 1001",2021,"ped_fca",0.036408532393164,"index"
"51013100200","tract","Census Tract 1002",2021,"ped_fca",0.0384015568878043,"index"
"51013100300","tract","Census Tract 1003",2021,"ped_fca",0.0447750739652854,"index"
"51013100400","tract","Census Tract 1004",2021,"ped_fca",0.0440937415334598,"index"
"51013100500","tract","Census Tract 1005",2021,"ped_fca",0.038580092387613,"index"
"51013100600","tract","Census Tract 1006",2021,"ped_fca",0.0385250611666661,"index"
"51013100700","tract","Census Tract 1007",2021,"ped_fca",0.0383607529414015,"index"
"51013100800","tract","Census Tract 1008",2021,"ped_fca",0.0383163354243428,"index"
"51013100900","tract","Census Tract 1009",2021,"ped_fca",0.0382275795311534,"index"
"51013101000","tract","Census Tract 1010",2021,"ped_fca",0.0365072080945559,"index"
"51013101100","tract","Census Tract 1011",2021,"ped_fca",0.0363034800278642,"index"
"51013101200","tract","Census Tract 1012",2021,"ped_fca",0.0377968302844752,"index"
"51013101300","tract","Census Tract 1013",2021,"ped_fca",0.0376507628115472,"index"
"51013101401","tract","Census Tract 1014.01",2021,"ped_fca",0.035933416813343,"index"
"51013101402","tract","Census Tract 1014.02",2021,"ped_fca",0.037494651698807,"index"
"51013101403","tract","Census Tract 1014.03",2021,"ped_fca",0.037494651698807,"index"
"51013101404","tract","Census Tract 1014.04",2021,"ped_fca",0.0374637016881554,"index"
"51013101500","tract","Census Tract 1015",2021,"ped_fca",0.0385223060638101,"index"
"51013101601","tract","Census Tract 1016.01",2021,"ped_fca",0.0380080160463265,"index"
"51013101602","tract","Census Tract 1016.02",2021,"ped_fca",0.0402105084679444,"index"
"51013101603","tract","Census Tract 1016.03",2021,"ped_fca",0.0384451104696842,"index"
"51013101701","tract","Census Tract 1017.01",2021,"ped_fca",0.0412754270974054,"index"
"51013101702","tract","Census Tract 1017.02",2021,"ped_fca",0.0407970249802564,"index"
"51013101703","tract","Census Tract 1017.03",2021,"ped_fca",0.0418955383457881,"index"
"51013101801","tract","Census Tract 1018.01",2021,"ped_fca",0.0400407572542071,"index"
"51013101802","tract","Census Tract 1018.02",2021,"ped_fca",0.0410022151065581,"index"
"51013101803","tract","Census Tract 1018.03",2021,"ped_fca",0.039574754791141,"index"
