"GEOID","NAME","population_2009","population_margin_2009","population_2010","population_margin_2010","population_2011","population_margin_2011","population_2012","population_margin_2012","population_2013","population_margin_2013","population_2014","population_margin_2014","population_2015","population_margin_2015","population_2016","population_margin_2016","population_2017","population_margin_2017","population_2018","population_margin_2018","population_2019","population_margin_2019","doctors_2009","doctors_2010","doctors_2011","doctors_2012","doctors_2013","doctors_2014","doctors_2015","doctors_2016","doctors_2017","doctors_2018","doctors_2019"
"51001090100","Census Tract 901, Accomack County, Virginia",0,0,3183,846,3085,937,3012,917,2965,857,2933,922,2930,891,2919,896,2903,781,2899,873,2899,748,5,6,7,6,6,6,6,6,6,6,6
"51001090200","Census Tract 902, Accomack County, Virginia",0,0,5200,1336,5309,1378,5153,1182,5523,1397,6231,1488,6505,1520,6407,1486,6353,1681,5960,1515,5771,1451,4,5,5,5,5,5,5,5,6,5,5
"51001090300","Census Tract 903, Accomack County, Virginia",0,0,2975,772,2842,629,2737,700,2459,589,2369,613,2458,552,2456,583,2299,513,2527,640,2439,576,0,0,0,0,0,0,0,0,0,0,0
"51001090400","Census Tract 904, Accomack County, Virginia",0,0,6772,2029,7109,2249,6684,2069,6733,2144,6589,1975,6328,1978,6165,1808,6097,1875,6332,2289,6603,2223,2,1,1,3,3,2,2,1,2,1,2
"51001090500","Census Tract 905, Accomack County, Virginia",0,0,2804,684,2779,807,2915,817,2854,774,2643,748,2501,648,2574,616,2404,613,2310,625,2526,732,1,1,1,1,1,1,1,1,1,1,1
"51001090600","Census Tract 906, Accomack County, Virginia",0,0,4686,1067,4407,889,4538,1000,4126,974,3735,818,3584,755,3751,856,3537,822,3693,903,3726,817,30,23,26,23,22,29,26,26,25,26,26
"51001090700","Census Tract 907, Accomack County, Virginia",0,0,5285,2131,4831,1772,4859,1901,5148,1633,5021,1659,4995,1716,5126,1695,5479,1945,5412,1886,5280,1907,0,0,0,0,0,0,0,0,0,0,0
"51001090800","Census Tract 908, Accomack County, Virginia",0,0,3161,979,3326,1024,3548,902,3476,905,3641,966,3814,992,3662,1013,3768,1096,3609,993,3429,1033,0,0,0,0,0,0,0,0,0,0,0
"51001980100","Census Tract 9801, Accomack County, Virginia",0,0,0,127,8,7,5,7,3,5,2,4,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001980200","Census Tract 9802, Accomack County, Virginia",0,0,0,127,5,3,3,3,2,2,1,2,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001990100","Census Tract 9901, Accomack County, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51001990200","Census Tract 9902, Accomack County, Virginia",0,0,0,127,0,95,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,0,0,0,0,0,0,0,0,0,0
"51003010100","Census Tract 101, Albemarle County, Virginia",4939,1049,5129,1091,4998,1025,4807,882,4619,778,4986,826,5423,919,5575,1040,5651,1002,5553,1149,5102,1138,4,4,4,4,4,4,4,4,4,4,4
"51003010201","Census Tract 102.01, Albemarle County, Virginia",0,0,4826,651,4828,643,4309,604,4590,598,4566,578,4536,603,4713,641,4795,609,4737,629,4807,641,1,1,1,1,1,1,1,1,1,1,1
"51003010202","Census Tract 102.02, Albemarle County, Virginia",0,0,3410,549,3394,567,3232,591,3248,584,3108,502,3155,485,3251,419,3162,391,3130,497,3101,456,1,1,1,1,1,1,1,1,1,1,1
"51003010300","Census Tract 103, Albemarle County, Virginia",7981,1044,8323,1668,8087,1508,8658,1535,8728,1555,9115,1860,8833,1783,8804,1910,8364,1976,8696,1888,8515,1983,28,21,25,27,26,23,23,25,26,22,24
"51003010401","Census Tract 104.01, Albemarle County, Virginia",0,0,4045,898,3926,839,3947,798,4247,830,4315,740,4516,876,4390,844,4417,862,4139,912,4175,869,1,1,1,1,1,1,1,1,1,1,1
"51003010402","Census Tract 104.02, Albemarle County, Virginia",0,0,3500,519,3375,514,3219,543,3315,503,3196,434,3245,456,3080,410,3072,487,2935,459,3000,459,1,1,1,1,1,1,1,1,1,1,1
"51003010500","Census Tract 105, Albemarle County, Virginia",3946,549,4164,702,4453,743,4623,805,4767,856,5156,1166,5238,1219,5325,1119,5255,1110,5565,1175,5492,976,110,115,127,120,126,113,121,132,108,131,124
"51003010601","Census Tract 106.01, Albemarle County, Virginia",0,0,6078,1099,6190,1282,5741,1050,5472,979,5574,978,5841,1009,6052,1072,6454,1040,6579,1077,6330,992,34,34,32,34,31,39,31,33,30,33,33
"51003010602","Census Tract 106.02, Albemarle County, Virginia",0,0,2539,494,2684,637,2850,556,2879,477,3261,523,3341,505,3533,525,3819,599,4070,695,4314,690,1,1,1,1,1,1,1,1,1,1,1
"51003010700","Census Tract 107, Albemarle County, Virginia",5679,1111,6310,1481,5962,1484,5764,1307,5816,1433,5763,1310,5788,1202,5629,954,5861,1277,5795,1208,6064,1418,34,32,37,26,32,33,35,33,33,30,32
"51003010800","Census Tract 108, Albemarle County, Virginia",4114,1344,4797,1272,5066,1437,5303,1530,5017,1581,4673,1489,4736,1287,4635,1220,4941,1273,5352,1453,5721,1585,9,7,6,9,6,6,8,6,7,7,7
"51003010901","Census Tract 109.01, Albemarle County, Virginia",2316,557,2199,543,2087,406,2024,354,1925,278,1667,340,1835,550,1785,405,1756,372,1805,596,1920,560,9,11,10,8,8,9,8,11,9,7,9
"51003010902","Census Tract 109.02, Albemarle County, Virginia",3516,608,2548,686,2427,421,2941,758,2966,645,3095,514,3229,670,3320,737,3187,966,3523,936,3520,1187,1,1,1,2,1,1,1,1,1,2,1
"51003010903","Census Tract 109.03, Albemarle County, Virginia",2099,599,2247,612,2371,1058,2828,1469,3422,1421,3753,1315,3838,1415,3715,951,3483,990,3159,781,3004,562,7,9,11,7,17,4,34,1,32,3,6
"51003011000","Census Tract 110, Albemarle County, Virginia",6634,1512,6470,1447,6275,1338,6430,1408,6306,1350,5988,1284,6071,1304,6087,1243,6106,1261,6442,1442,6528,1467,23,29,27,22,27,27,25,26,23,26,25
"51003011100","Census Tract 111, Albemarle County, Virginia",5762,1263,6510,1503,7187,1664,7800,1861,7955,1814,8170,1868,8077,1692,8221,1704,7869,1335,7855,1535,8287,1638,19,18,20,18,21,20,23,20,18,23,19
"51003011201","Census Tract 112.01, Albemarle County, Virginia",0,0,3767,951,3774,876,3817,955,3868,917,4033,995,3870,906,4296,932,4231,803,3940,812,4065,877,0,0,0,0,0,0,0,0,0,0,0
"51003011202","Census Tract 112.02, Albemarle County, Virginia",0,0,3183,427,3197,563,3414,446,3428,477,3482,475,3361,479,3522,431,3536,465,3466,423,3616,403,37,36,37,38,39,37,36,36,38,37,37
